"ipipe","ipipa","ipipc","ipipn","ipipo","bitter","salty","sour","spicey","sweet","filter_.","gender"
3.4,3.9,3.33333333333333,3,4.1,4.2,4.4,4.8,5.4,5.7,0,2
3.3,4,4,3.3,3.9,3.3,3.3,3,2.7,4.8,0,2
3,4,3.9,2.5,4.1,3.3,3,3.6,3.8,5.3,1,1
2.2,4.2,1.5,3.9,3.3,2.8,4,3.6,5,4.1,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.3,4,3.9,4,3.4,2.3,3.3,3.6,2.3,4.5,1,1
2.8,4.1,3.6,3.1,3.3,4.5,5.8,5.8,3.8,5.5,1,1
3.1,4,3.33333333333333,2,3.4,3.9,3.4,4.8,5.6,5.6,1,2
4.2,3.6,3.9,3.4,3,4.5,4.3,5.6,3.8,5.3,0,1
4.3,3.8,3.2,3.8,4.4,2.9,3.33333333333333,3,2.8,4.4,0,1
3.5,4.6,4.5,3.2,3.3,3.4,4,3.9,1.5,4.1,1,1
4.6,3.6,3.1,3,4.1,3.6,3.6,2.5,1.3,4.2,1,1
4.3,4.4,3.7,2.9,4.1,3.9,3.8,4.1,4.2,3.6,1,2
3.4,4,4,2.8,3.5,4.2,4,2.7,3.7,4.3,1,2
3.2,3.55555555555556,3.55555555555556,2.7,3.3,3.55555555555556,3.88888888888889,3.8,3,4,0,1
3.8,4.2,3,3.3,3.8,2.33333333333333,2.6,2.5,2.8,4.3,1,1
3.6,4.2,3.6,2.7,3,1.9,3.4,3.5,3.3,4.6,1,2
4.6,4.2,3,2.8,4.9,4,4.9,4.6,4.1,4.6,1,2
2.8,3.1,2.4,3.1,4.7,3.5,3.3,3.77777777777778,2.6,4,1,2
2.2,4.5,3.8,2.7,3,3.7,3.7,3.2,2.5,5.4,NA,NA
3.9,4.7,4.3,3.9,3.9,3,1.8,2.9,2.7,4.5,1,1
2.6,4.4,2.9,3.7,3,3.1,2.2,2.9,2.3,4.1,1,1
3.9,3.66666666666667,2.9,3,3.6,3.3,4,3.3,2.2,3.2,1,1
4.9,4.9,3.7,2.7,4,2.2,2.6,3.3,1,4,1,1
1.4,2.2,3.7,3.8,3.8,2.9,3.4,3.88888888888889,2.7,4.8,1,2
3,3.6,4.3,2.8,3.8,3.8,3.9,3.2,3,3.5,1,2
3.8,3.7,2.4,3.2,3.2,3.8,4.1,3,2.3,3.88888888888889,1,1
3.5,4.7,3.5,3.2,4.3,3.9,3.2,4.5,2,4.5,1,1
4.2,4.5,3.7,3,4.7,5,5.5,4.8,5.5,4.1,1,1
3.8,3.5,4,2.4,3.8,4.7,5.2,5.1,5.8,4,0,2
3.8,4.5,3.6,2.8,4.7,3.1,4,3.3,3,4.4,1,1
3.3,4.9,3.8,4.2,4,3.9,4.4,4.3,3.8,5.2,1,1
2.9,4.5,2.5,3.7,3.1,3.5,3.9,2.8,4.5,4.4,1,1
3.22222222222222,3.6,3.1,4.4,3.7,3.1,4.7,3.7,3.8,3.2,0,1
4.1,4.7,2.9,1.5,3.6,3.2,4.4,3.3,1.6,4.8,1,1
3.4,4.1,4.5,2.5,3.5,2.3,3.2,3,2.6,3.4,1,2
3.8,4.1,3.5,3.8,4.2,3.3,3,2.7,2.6,4.4,1,1
3,4.7,2.9,3.1,3.9,4.1,4.4,3.8,5.7,4.9,0,2
4.11111111111111,4,4.6,3.5,4,3.6,3.7,2.8,1.5,4,1,2
2.1,3.7,3.5,2,3.6,2.8,3.1,3.3,3.5,4.5,1,1
2.9,4.4,2.6,3,3.9,3.7,3.8,3.5,5.5,3.3,1,2
4.2,4.1,3.4,1.6,3.7,3.1,2.8,4.5,2.2,4.4,1,1
4.5,4.2,3.7,2.4,4.4,2.9,3.5,2.9,1,5.3,1,1
3.5,4,3.2,2.1,3.2,1.7,3,3,2.2,4.4,1,1
2.5,2.6,2.2,2.7,2.5,2.7,2.2,2.7,1.8,3.6,0,1
3.7,4.9,3,1.7,3.4,2.4,3.2,3.1,1.8,4.6,1,1
4,4.5,4.1,2.6,4,3,3,3.6,2,5.2,1,1
3.1,3.9,3.5,2.7,3.6,2.8,3.7,3,2.4,3.2,1,2
2.1,4.5,3.8,2.6,4.1,1.9,2.2,2.3,3.1,4.3,1,1
3.4,3.6,3.9,3.8,4.1,1.5,4,2.1,1,3.3,1,2
2.9,2.6,1.8,4.3,2.2,3,3.1,3.3,2.3,3.7,1,1
4.3,4,3.5,3.1,3.9,3.7,4.2,3.8,3.6,4.55555555555556,1,2
2.5,4.8,3.9,3,4.2,3.3,4.1,3.3,2.2,4.5,1,2
4.1,5,3.7,2.1,4.4,2.1,1.8,3.3,1,5.5,1,1
3.9,4.7,4.2,2.4,4.7,1.9,2.7,2.4,3.7,3.2,1,1
3.2,4,3.8,3,3.2,2.6,2.8,2.4,3.4,4.4,1,1
3.3,3.5,3.3,3,3.2,3.8,3.9,4.4,3.1,5.1,0,1
3.1,3.2,2.9,2.4,2.9,2.5,2.5,2.4,2.4,2.8,1,2
3.5,4.3,3.4,2.6,3.7,4.5,2.8,4.1,3.8,4.7,1,1
3.7,4.2,2.7,3.2,4.2,1.7,2.3,1.7,1.2,3.2,1,2
4.1,4.3,3.1,2.3,2.9,4.5,4,4.9,5,5.7,1,1
3,3.5,3.4,2.3,3.4,3.7,3.7,3.5,4.2,3.5,0,1
2.2,4.1,3.4,2.9,3.9,1.9,3.6,2.6,1.7,4,1,2
2.4,4.3,3.2,1.9,4.8,3.9,3.8,3.9,2,4.7,0,1
1.8,4.2,3.6,4.2,4.5,2.3,3.6,2.8,3.3,4.5,1,2
3.4,3.8,3.3,1,4.4,4.2,5.5,4.5,3.4,5.8,0,2
2.9,4,3.7,2.2,3.1,2.7,3.9,2.8,1.2,5.1,1,2
4.3,4.2,3.6,3.2,3.9,4.3,3.2,3.9,2.3,3.9,1,1
2.6,4,2.9,3.2,3,2.4,2.2,2.7,1.2,4.4,1,1
2.9,3.5,3.3,3.7,3.1,4.5,4.6,3.6,2.9,5.2,1,1
2.7,3.9,3.4,3,3,2.1,2.9,1.8,1.3,4.9,0,1
3.7,3.8,3.4,2.9,3.6,2.7,1.9,2.8,4.3,2.9,1,2
3.8,3.9,4,2.3,3.5,3.1,2.9,2.9,2.6,4.8,0,1
3.7,4.1,2.4,1.9,4,4,3.9,4.1,3.8,4.6,1,2
4.2,4.5,3.4,2.8,3.3,2.7,5.1,3.4,1.6,5.7,1,1
2.8,2.9,3,3.2,3.1,3.5,3.2,4.22222222222222,2.9,4.9,0,1
4.4,4.8,3.7,2.8,4.1,2.9,3.8,3.9,2.9,4.5,0,1
3.8,4.7,3.6,1,4.2,3.9,4.8,4.4,3.9,5.6,0,2
2.5,4.7,4.2,2.5,3.8,1.9,3.4,2.2,3.4,5,1,1
2.1,3.7,2.6,3.7,2.8,3.5,2.7,3.7,3.4,5,1,1
1.6,3.9,3.8,1.5,2.8,1.8,2.7,1.5,1.3,4.2,1,1
2.7,2.9,2.7,3,4.2,3,2,2.8,3.5,2.8,1,2
3.1,3.7,3.9,2.6,3.4,3,3.9,3,1.2,3.9,1,1
2.6,3.1,3,4.3,3.4,3,3,2.3,1.2,4.1,1,1
2.6,4.1,3.6,3.5,3.4,3.2,3.5,3.5,4.6,2.9,1,1
3.1,3.7,3.3,2.6,3,4.3,3.6,4.1,3.1,3.9,0,1
4.1,4.6,4.2,2.9,3.5,4.2,3.5,5.2,4.6,4.4,1,1
4.2,3.9,3.5,1.7,3.3,2.2,2.5,2.2,1.5,4.9,0,1
2.8,2.8,3.8,2.9,4,3.6,4.7,3.9,3.7,5.7,1,1
2.8,3.7,3.4,3.8,4.2,3.4,4.7,4.3,4.3,5.3,1,2
3.4,3.9,3.8,2.5,4.2,3.3,2.9,3.3,3.1,4.2,1,2
4,3.9,3.2,1.9,4.2,3.5,3.9,3.33333333333333,2.6,4.1,1,2
2.3,3.5,3,2.5,2.9,2,3.6,2.7,3.1,2.8,1,2
3.2,3.7,3.6,2.8,3.3,2.7,3.4,3.3,2.7,5,1,1
4.7,4.8,3,2.4,4.1,4.5,3.3,4.55555555555556,4.2,4.8,1,1
2.7,5,3.3,3.8,3.5,4.6,3.8,3.4,1.1,5.3,1,1
3.4,4.3,4.3,3.8,3.2,4.1,5.1,4.2,2.6,5.8,0,1
3.6,3.6,3.8,4,3.8,2,2.5,2.9,1.3,3.5,0,2
3.6,3.7,3.2,2.7,2.8,3.6,4.3,3.7,2.9,4.3,1,1
3.8,2.6,3.9,4.2,3.8,3.9,4.8,3,3,3.4,1,2
4.3,4.5,3.6,2.1,3.5,4.7,4.1,4.5,3.2,5.9,1,1
3.1,2.6,4.5,3.5,3.6,3.6,3.6,2.5,4.2,4.9,0,2
4.1,4,3.6,3.1,3.7,2,4.2,4.2,2,4.9,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.8,4.4,4.6,3,3.7,2.8,2.7,3.6,3.3,4.8,1,1
4.3,4.4,4.3,2.4,4,2.7,3.3,3,1,4.1,1,1
3.3,3.9,4,3,3.4,3.1,3.1,3.6,2.1,5.1,1,2
3.8,4.6,3.6,2.8,3.6,2.4,3,2.6,4,4.4,1,1
2.8,4.7,3.6,2.9,2.9,3.2,3.5,2.7,2.5,5,1,1
2.7,3.1,3.2,2.8,3.4,3.5,3.6,3.6,3.2,3.6,1,1
4.6,4.8,3.5,4.3,4.8,3.8,3.7,3.44444444444444,2.3,5.6,1,1
4.2,4.8,4,3.3,2.4,4.2,4.4,3.5,1,5.4,1,1
2.7,4.3,3.8,3.5,4.3,4.5,5.11111111111111,5,3.9,5.3,1,1
3.1,4.7,3.4,2.4,4,4.1,3.9,4.5,4.7,4.9,1,2
2.8,3.9,3.3,2.6,3.5,3.5,4.5,3.9,2.7,4.8,1,2
2.1,3.6,4.7,3.6,3.7,2.2,3.8,2,3.1,3.9,1,2
4.2,4.3,2.7,2.6,3.7,3.2,3.3,3.3,4.1,4.3,0,2
3.1,3.6,4.2,2.9,4.1,2.8,2.2,1.9,1,4,1,1
3,4.4,3.6,4,3.3,3.6,4.2,3.7,2.7,4.9,0,1
4.5,3.8,3.9,3,4,2.6,2.7,1.9,1.5,3.6,0,2
4.6,3.9,2.9,2.9,4.1,3.4,3.7,3.3,3.9,4.5,1,2
3.6,3.5,3.1,2.8,3,3.1,3.2,3.7,2.7,4.44444444444444,1,1
2,4.5,3.8,3.4,3.6,2.6,3.9,2.77777777777778,2.4,4.4,1,1
4.2,4.9,4.8,3,4.1,2.9,2.5,1.9,2.5,5.3,1,1
3.2,3.7,3.5,2.8,3.5,3.6,4,4,3.8,4.2,1,1
3.8,2.6,4.2,3.1,3.1,3.4,4.8,3.9,3.8,3.7,1,1
3.3,4.9,4.6,3.5,4.2,4.5,2.9,5,2.4,5.9,1,1
4.8,5,4.5,2.6,4.1,1.8,3.4,3.1,1.6,4.3,1,1
3.5,3.7,3.3,2.5,3.4,3.6,4.6,4.6,4.8,5.6,0,2
4.4,2.7,3.1,2,4.1,4.8,5.5,5.1,5.1,5.7,1,2
3.3,3.7,3.8,2.8,3.6,3.6,3.8,2.5,3.9,4.4,1,2
3.3,4.8,4.8,1,4.8,3.5,3.9,3.8,3.6,5.4,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.6,4.1,3.6,3.7,2.7,2.6,3.5,3.7,1.9,4.7,1,1
2.5,3.7,3.5,1.4,3.8,3.2,3.6,3.7,4.9,5.5,1,2
3.1,4.9,3.5,3.6,3,2.3,3,3.2,1.8,4.2,0,2
2.7,4.6,4,3.3,3.3,2.4,4.8,2.5,1.6,5.5,0,1
3.4,3.7,3.8,2.6,3.77777777777778,2.6,4.3,2.8,3.8,3.9,1,1
2.2,3.6,4.4,2.3,3.9,2.9,3.7,3.1,1.7,4.8,1,2
4.3,4.4,3.44444444444444,3.5,2.8,3.4,3.6,3.1,1,3.6,1,1
3.7,3.6,2.5,3.3,3.2,3.3,4,3.4,2.4,4.8,1,1
3.2,2.9,2.9,2.4,2.6,2.8,4,3.7,4.4,4,0,1
3.9,4.5,4.4,3,4.5,4.8,4.7,4.8,1.7,4.9,1,1
2.2,4.2,4.9,1.7,3.6,4.2,5.1,4.5,4.4,5.4,1,1
3.3,4.2,3.4,1.9,3.7,5.5,5.8,4.5,5.5,6,0,2
3.3,3.7,1.6,2.4,2.5,3.6,4.2,4.7,3.8,5.6,1,1
4,4.1,2.8,1.9,3.3,3.2,3.3,2.7,3.5,4.4,1,1
3,4.1,4.6,3.4,4.3,2.7,3,2.2,1.44444444444444,4.5,1,2
1.7,3.4,4.3,2.9,4.5,3.8,3.4,4.5,4.3,4.7,0,1
2.3,3.8,3.9,1.5,3.4,2.3,2.8,2.9,3.5,4.3,0,2
3,4.1,3.1,2.9,3.9,3.5,3.9,4.6,2.4,5.2,1,2
2.9,3.7,3.7,2.2,3.7,2.3,2.3,3,3.2,3,1,2
2.4,3.6,4.9,4.7,4.8,3.3,4.1,2.7,1.2,3.8,1,1
3.8,3.4,3.1,4.3,3.2,2.9,2.8,3,2.625,3.4,0,2
3.4,3.88888888888889,2.8,3.2,2.9,1.7,3,2.2,2.11111111111111,4.8,0,2
3.5,3.9,3.2,3.7,3.8,3.1,2.8,3.7,2.5,4.6,1,1
2.4,4.3,2.7,3.1,2.8,2.8,3.11111111111111,3.1,3.4,3.1,1,2
3,4,4.2,1.8,3.8,3.2,3.4,2.9,3.7,4.2,0,2
3.7,3.8,3.4,3.6,3.3,2.1,3.1,1.7,1.8,3.3,1,2
2.2,4.5,3.6,3.6,3.4,3.7,2.9,4.4,2.5,4.1,0,1
2.8,3.2,2,3.5,4.1,3.5,4,4.7,5.2,5,1,2
3,3.5,2.8,2.7,4.1,3.5,3.8,3,4.7,4.6,1,2
3.1,5,4.5,3.5,4.8,1.9,1.7,2.4,2.44444444444444,2.8,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.6,3.9,3.4,3.4,2.9,2.6,3.7,3,1.8,4.6,1,1
4.2,4.8,4.2,3.3,3.3,3.3,4.3,4.1,2.9,4.3,1,1
3.3,3.9,3.9,3,4.1,4.4,4,3.6,5.2,3.7,1,2
4.2,3.9,3.8,1.1,4.1,3,3.4,3.2,4.5,3.4,1,2
3.1,4.2,3.2,2.7,2.8,3.6,3.7,3.5,5.2,4.3,0,1
3.3,4.8,4.4,2.7,3.9,1.6,2.1,2.6,2.5,5.4,1,1
2.1,4.2,2.8,2.3,3.3,3.2,3.4,3.3,4,5,1,1
3.1,3.5,3.1,3.5,3.4,3.9,4.1,3.8,2.9,4.4,1,2
3,3,3,3,3,3.9,3.7,3.6,5.4,4.8,0,1
3.1,4.6,4.2,3.3,3.5,3.6,4.4,4.2,1.6,4.3,1,1
3.9,3.6,3.5,1.9,3.5,4.1,4.6,4.6,2.7,5.7,1,2
2.7,4,2.5,2.2,3.6,3.2,4.7,4.1,5.4,4.9,1,2
3.3,3.5,3.2,3.5,3.3,4.2,3.2,3.9,3.5,3.9,0,1
3.7,4.5,2.9,3.7,4,4,2.55555555555556,2.2,2.5,5.6,0,1
3.6,3.8,3.5,3.5,3.3,3.6,3.8,3.8,2.8,5.2,1,2
2.8,3.5,3.8,2.9,3.7,3.9,4.1,3.6,2.7,4.6,0,1
2.3,3.7,3.6,3.4,3.5,2.7,4.5,3.2,2.6,5.2,1,2
3.4,4.2,4.1,2.3,3.3,3.6,3.9,4.3,4.7,5.2,1,2
2.7,3.5,3.6,3.4,3.1,3.5,3.9,3.4,2.8,5.3,1,1
3.8,4.3,4.3,3,3.8,2.8,2.9,2.9,2.9,4,0,1
3.5,3.6,3.2,3.6,4,3.8,5,4.7,5.1,4.8,0,2
3.6,4,3.9,2,3.9,2.2,3.5,3.4,3.2,5.2,1,2
4.6,4.9,3.4,2.8,4.1,2.1,2.8,3,1.2,3.4,1,2
3,3.8,3,3.3,2.6,4.2,3.6,3.5,2.7,4.4,1,2
4.5,4.6,4.3,2.1,4.1,3.2,3.9,4.2,3.7,4.9,1,1
4.7,5,3.9,1.8,3.8,4.4,4.5,3.5,3.1,4.8,1,1
3.6,4.1,3.6,2,3.9,3.4,3.9,3.4,2.5,4.8,1,2
2.7,4.6,1.8,3,4.7,5,5.1,3.7,5.5,5.1,1,1
4.1,4.7,3.1,1.6,3.9,4.3,4.2,3.9,3.5,5.1,1,2
2.9,4.4,3.6,2.9,3.6,1.8,3.11111111111111,2.6,3.4,3.8,0,1
2.6,3.7,3.6,4.1,3,1.2,1.9,1.5,1.1,2.6,0,1
3.6,3.9,3.6,3.6,3.8,2.8,2.3,2.7,1.77777777777778,3.2,1,1
1.9,4.2,3.5,2.9,3.3,3.2,2.2,2.7,2.7,4.7,1,1
2,3.8,4.2,4.5,3.7,5,3.8,4.8,4.7,5,1,1
3.9,4.8,3.3,2.8,4,3.2,4,3.7,2.2,4.6,1,1
3.3,3.8,4.3,3,3.7,2.4,4.8,3.7,3.4,4.1,1,2
3.3,4.1,3.3,3.5,4.6,4.1,3.7,4,4.6,4.7,1,2
3.9,4.1,3.7,3.6,3.9,2.7,3.1,3.5,1,4.9,1,1
3.2,3.6,3.4,3.3,3.4,3.4,3.5,3.5,1.7,5.2,1,1
3.7,4.3,4.5,1.77777777777778,4.5,1.6,3.3,2.1,1.9,3.4,1,1
2.7,3.8,3.2,2.7,2.9,4.7,2.8,4.7,4.5,3.6,0,1
2.5,4.1,3.6,3,4,4.8,3.9,4.4,3.6,4.4,1,1
3.4,4.7,3.8,2.3,2.7,2.7,2.5,2.6,2.8,3.2,0,2
4.9,4.8,4.4,2.3,3.8,4.4,4.7,4.2,1.4,5.9,1,1
2.3,4.6,2.7,2,3.1,3.5,3.6,3.3,2.5,4.5,1,1
